Elemento,Modos_de_falla,Causa_de_la_falla,Seguridad,Ambiente,Operación,Detección,Severidad,Estrategia,Frecuencia,Tiempo,Puesto_de_trabajo,Tipo_de_Mantenimiento
Banda,Banda desgastada,Tiempo de vida ,1,1,5,5,25,Inspeccione  que la banda no presente daños,2S,5 min,Operador,LILA
Banda,Suciedad en banda,Exceso de suciedad,1,2,3,5,30,Limpie la banda de la columna con un trapo humedecido,2S,10 min,Operador,LILA
Banda,Cables con ruptura,Exceso de suciedad,1,1,2,5,10,Limpie la cadena portacables con  un trapo humedecido,1M,15 min,Operador,LILA
Reductor,Reductor no gira,Rodamientos dañados,1,1,5,5,25,Reemplace rodamientos del reductor,2A,240 min,Mecánico,PLAN
Reductor,Reductor con ruido,Perdida de viscosidad de aceite,1,1,3,1,3,Realice análisis de aceite,1A,60 min,Mecánico,PLAN
Reductor,Reductor con ruido,Componentes dañados,1,1,3,1,3,Realice análisis de vibración,6M,30 min,Mecánico,PLAN
Reductor,Reductor sucio,Exceso de suciedad,1,1,2,5,10,Limpie el reductor exteriormente con un trapo,2S,5 min,Mecánico,PLAN
Reductor,Reductor con manchas de aceite,Fuga de aceite,1,1,4,5,20,Inspeccione fugas de aceite existentes en el reductor,2S,5 min,Mecánico,PLAN
Motor,Motor no gira,Rodamiento dañado,1,1,4,5,20,Reemplace rodamientos del motor,1A,180 min,Mecánico,PLAN
Motor,Motorreductor no gira,Motor aterrizado,1,1,4,1,4,Realice medición de la resistencia dieléctrica de las bobinas del estator,6M,30 min,Eléctrico,PLAN
Motor,Motor con ruido,Rodamientos dañados,1,1,4,5,20,Realice análisis de vibración,6M,30 min,Mecánico,PLAN
Motor,Motor sucio,Exceso de suciedad,1,1,3,5,15,Limpie la superficie del motor con un trapo,2S,5 min,Mecánico,PLAN
Motor,Motor con ruido,Componente dañado,1,1,5,5,25,Inspeccione auditivamente que no presente ruidos anormales ,1M,5 min,Operador,LILA
Polea,Polea dañada,Desgaste de polea,1,1,5,5,25,Inspeccione que la polea no presente juego con respecto a la flecha,6M,60 min,Operador,LILA
Polea,Polea dañada,Rodamiento dañado,1,1,4,1,4,Inspeccione visualmente que la polea no presente desgaste en los dientes,1M,60 min,Operador,LILA
Chumacera,Chumacera con ruido anormal,Falta de lubricación,1,1,3,5,15,"Lubrique la chumacera con 2 bombazos de grasa, al terminar elimine el exceso de grasa",1M,5 min,Operador,LILA
Chumacera,Chumacera con ruido anormal,Chumacera dañada,1,1,4,5,20,"Inspeccione las condiciones de la chumacera, en caso de detectar desgaste Reemplace",6M,60 min,Mecánico,PLAN
Motoreductor,Motorreductor no gira,Rodamiento dañado,1,1,4,5,20,Reemplace rodamientos del motor,1A,180 min,Mecánico,PLAN
Motoreductor,Motorreductor no gira,Motor aterrizado,1,1,4,1,4,Realice medición de la resistencia dieléctrica de las bobinas del estator,6M,30 min,Eléctrico,PLAN
Motoreductor,Motorreductor con ruido,Rodamientos dañados,1,1,4,5,20,Realice análisis de vibración,6M,30 min,Mecánico,PLAN
Motoreductor,Motorreductor sucio,Exceso de suciedad,1,1,3,5,15,Limpie la superficie del motorreductor con un trapo húmedo ,2S,5 min,Operador,LILA
Unidad de accionamiento ,Motorreductor con ruido,Componente dañado,1,1,5,5,25,Inspeccione auditivamente que el motorreductor no presente ruidos anormales ,1M,5 min,Operador,LILA
Buje,Buje dañado,Desgaste,1,1,4,5,4,Reemplace el buje ,1A,30 min,Mecánico,PLAN
Sprocket,Sprocket dañado,Desgaste de sprocket,1,1,3,1,3,Inspeccione visualmente que no presente desgaste en los dientes,3M,60 min,Mecánico,PLAN
Sprocket,Sprocket dañado,Desgaste de sprocket,1,1,3,1,3,"Inspeccione que no presente juego con respecto a la flecha, en caso de detectar desgaste remplace",3M,60 min,Mecánico,PLAN
Sprocket,Sprocket dañado,Sprocket con Juego,1,1,3,1,3,Reapriete los opresores del sprocket,6M,120 min,Mecánico,PLAN
Piston,Pistón no se mueve,Fuga de aire,1,1,5,5,25,Inspeccione auditivamente que el pistón no presente fugas en las conexiones,1M,5 min,Operador,LILA
Valvula,Válvula no acciona,Fuga de aire,1,1,2,1,2,Inspeccione que la válvulas no presente fugas,1M,5 min,Operador,LILA
Ventosa,Ventosa con fuga,Fuga,1,1,5,5,25,Inspeccione  que la ventosa no se encuentre dañada,1M,5 min,Operador,LILA
