Elemento,Modos_de_falla,Causa_de_la_falla,Seguridad,Ambiente,Operación,Detección,Severidad,Estrategia,Frecuencia,Tiempo,Puesto_de_trabajo,Tipo_de_Mantenimiento,,,,,,,
Engranes,Engranes dañados ,Desgaste,1,1,3,5,15,Inspeccione que el engrane no presente desgaste en dientes,1A,10 min,Mecánico,PLAN,,,,,,,
Engranes,Engranes dañados ,Fatiga,1,1,3,5,15,Inspeccione que el engrane no se encuentren residuos de metal,1A,10 min,Mecánico,PLAN,,,,,,,
Engranes,Engranes dañados ,Fractura de dientes,1,1,5,5,25,Reemplace el engrane,1A,120 min,Mecánico,PLAN,,,,,,,
Engranes,Engranes dañados ,Falta de lubricacion ,1,1,1,1,1,Lubrique el engrane con grasa xxxxxx,1M,10 min,Operador,LILA,,,,,,,
Eje/Flecha,Flecha dañada,Desgaste,1,1,5,5,25,Inspeccione que la flecha no presente desgaste ,6M,20 min,Mecánico,PLAN,,,,,,,
Eje/Flecha,Flecha dañada,Deformacion,1,1,5,5,25,Inspeccione que en la fecha no existan deformaciones ,6M,20 min,Mecánico,PLAN,,,,,,,
Rodillos ,Pérdida de material en la superficie del rodillo.,Fricción constante con materiales abrasivos.,1,1,5,5,25,Inspección y reemplazo de rodillos desgastados,6M,20 min,Mecánico,PLAN,,,,,,,
Rodillos ,Reducción en el desempeño del equipo.,Lubricación inadecuada o ausente.,1,1,5,3,15,Usar lubricantes específicos para reducir la fricción y el desgaste.,1M,10 min,Operador,LILA,,,,,,,
Rodillos ,Aparición de rayaduras o marcas irregulares.,Uso prolongado sin mantenimiento.,1,1,5,3,15,Inspecionar para detectar desgaste en etapas tempranas y sustituir rodillos afectados.,2S,5 min ,Operador,LILA,,,,,,,
Rodillos ,Presencia de grietas visibles o roturas completas.,Sobrecargas mecánicas.,1,1,5,5,25,Sustituir rodillos con fisuras visibles o riesgo elevado de fractura.,3M,20 min,Mecánico,PLAN,,,,,,,
Rodillos ,Vibraciones o ruido inusual durante la operación.,Golpes o impactos externos.,1,1,5,5,25,Reemplazar por materiales de mayor resistencia mecánica o diseñados para soportar impactos.,6M,10 min,Mecánico,PLAN,,,,,,,
Rodillos ,Movimiento irregular o desviación del rodillo.,Instalación incorrecta o falta de ajustes precisos.,1,1,5,5,25,Inspeccionar y alinear los rodillos regularmente para evitar problemas de funcionamiento.,2S,5 min,Mecánico,PLAN,,,,,,,
Rodillos ,Desgaste desigual en la superficie del rodillo.,Deformaciones en el marco o soporte del rodillo.,1,1,5,3,15,Verificar la rigidez de los marcos y soportes para prevenir deformaciones.,1M,5 min ,Operador,LILA,,,,,,,
Rodillos ,"Daños en otros componentes del sistema, como bandas transportadoras.",Desgaste desigual de los rodamientos.,1,1,3,3,9,Inspeccionar y alinear los rodillos regularmente para evitar desgaste en rodamientos.,1D,5 min ,Operador,LILA,,,,,,,
Rodillos ,Ruido excesivo o rechinidos.,"Contaminación por polvo, suciedad o humedad.",1,1,3,3,9,Asegurar que los rodamientos estén libres de contaminantes y que se lubriquen adecuadamente.,2S,10 min ,Operador,LILA,,,,,,,
Rodillos ,Aumento de la temperatura en la zona del rodamiento.,Sobrecargas o vibraciones excesivas.,1,1,3,5,15,"Reemplazar rodamientos con signos de desgaste o daño, como ruidos o bloqueos.",6M,20 min,Mecánico,PLAN,,,,,,,
Rodillos ,Movimiento lento o bloqueo completo del rodillo.,Lubricación insuficiente o contaminada.,1,1,5,3,15,Lubricar correctamente rodamientos.,2S,15 min ,Operador,LILA,,,,,,,
Rodillos ,Exposición a cargas superiores a las especificaciones del diseño.,Rodillos curvados o aplanados.,1,1,3,3,9,Asegurarse de que los rodillos estén diseñados para soportar las cargas reales del sistema.,2S,10 min ,Operador,LILA,,,,,,,
